"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","5.8","34756105.6","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","22.6","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.875","58352928.75","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.85","31524432.5","n/a","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.7","160931788.6","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","46.8","1207655092.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"QFIN","360 Finance, Inc.","14.49","44919000","3100000","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"ABM","ABM Industries Incorporated","33.85","2242188660.6","n/a","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"ACAMU","Acamar Partners Acquisition Corp.","10","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamu",
"ACNB","ACNB Corporation","37.44","263802988.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","22.7","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.0264","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.13","10363140230.04","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.71","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AMG","Affiliated Managers Group, Inc.","107.19","5579100688.95","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","49.39","37058916001.25","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"AGFS","AgroFresh Solutions, Inc.","3.89","196208526.9","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.1178","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALAC","Alberton Acquisition Corporation","9.97","146456807.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alac",
"ALACR","Alberton Acquisition Corporation","0.17","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacr",
"ALACU","Alberton Acquisition Corporation","10.17","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacu",
"ALACW","Alberton Acquisition Corporation","0.0799","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacw",
"Y","Alleghany Corporation","614.57","8890664613.6","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",
"ABTX","Allegiance Bancshares, Inc.","36.3","792322023.9","n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGR","Allegro Merger Corp.","9.92","189075200","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algr",
"ALGRR","Allegro Merger Corp.","0.32","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrr",
"ALGRU","Allegro Merger Corp.","10.51","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algru",
"ALGRW","Allegro Merger Corp.","0.3","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrw",
"AB","AllianceBernstein Holding L.P.","29.14","2813708220.92","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","11.97","1134774924.57","n/a","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",
"ALL","Allstate Corporation (The)","93.55","31055148379.2","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",
"ALLY","Ally Financial Inc.","26.85","10811584811.85","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/ally",
"AAMC","Altisource Asset Management Corp","35.65","56493414.2","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/aamc",
"AMBC","Ambac Financial Group, Inc.","19.71","893687548.14","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","9.24","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw",
"AMCI","AMCI Acquisition Corp.","9.78","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amci",
"AMCIU","AMCI Acquisition Corp.","10.06","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amciu",
"AMCIW","AMCI Acquisition Corp.","0.32","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amciw",
"ATAX","America First Multifamily Investors, L.P.","6.72","407846658.24","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",
"AEL","American Equity Investment Life Holding Company","29.9","2706024480.9","n/a","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","112.14","94575362765.94","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","96.27","8598104555.46","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afg",
"AFGE","American Financial Group, Inc.","25.84","0","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","25.86","0","n/a","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afgh",
"AIG","American International Group, Inc.","43.79","38074806565.86","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/aig",
"AMNB","American National Bankshares, Inc.","34.54","302451893.26","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","138.35","3719601869.15","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/anat",
"ARL","American Realty Investors, Inc.","12.75","203962719","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/arl",
"AMRB","American River Bankshares","13.9","81447995.2","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","124.86","16918063148.46","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amp",
"ABCB","Ameris Bancorp","38.33","1820634753.5","n/a","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","60.41","1164099491.8","n/a","2005","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","4.12","72591528.36","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","29.309","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","27.63","256774017.15","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/atlo",
"ANDA","Andina Acquisition Corp. III","9.7","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. III","0.25","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. III","10.11","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. III","0.19","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/andaw",
"AON","Aon plc","167.09","40101506763.78","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","28.81","11660664037.92","n/a","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/apo",
"ACGL","Arch Capital Group Ltd.","32.42","13050011901.4","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acgl",
"ACGLO","Arch Capital Group Ltd.","23.83","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglo",
"ACGLP","Arch Capital Group Ltd.","23.15","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglp",
"ARES","Ares Management Corporation","24.17","2489572382.77","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/ares",
"ARGD","Argo Group International Holdings, Ltd.","25.32","0","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argd",
"ARGO","Argo Group International Holdings, Ltd.","67.96","2308593248.68","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argo",
"AHH","Armada Hoffler Properties, Inc.","15.52","781202955.84","n/a","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/ahh",
"AROW","Arrow Financial Corporation","34.45","498572698.65","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/arow",
"AJG","Arthur J. Gallagher & Co.","79.06","14551783600","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/ajg",
"APAM","Artisan Partners Asset Management Inc.","26.22","2017239082.38","n/a","2013","Finance","Investment Managers","https://www.nasdaq.com/symbol/apam",
"ARYA","ARYA Sciences Acquisition Corp.","9.77","175554687.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/arya",
"ARYAU","ARYA Sciences Acquisition Corp.","10.37","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/aryau",
"ARYAW","ARYA Sciences Acquisition Corp.","1.3","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/aryaw",
"ASB","Associated Banc-Corp","22.99","3778149816.65","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asb",
"AC","Associated Capital Group, Inc.","44.27","999844856.12","n/a","2015","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ac",
"AIZ","Assurant, Inc.","101.28","6248576450.4","n/a","2004","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/aiz",
"AIZP","Assurant, Inc.","107.57","0","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/aizp",
"AGO","Assured Guaranty Ltd.","44.48","4585255716.8","n/a","2004","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ago",
"ASFI","Asta Funding, Inc.","5.22","34897866.3","n/a","1995","Finance","Finance Companies","https://www.nasdaq.com/symbol/asfi",
"ATH","Athene Holding Ltd.","42.12","8260474407.12","n/a","2016","Finance","Life Insurance","https://www.nasdaq.com/symbol/ath",
"AAME","Atlantic American Corporation","2.7","54538147.8","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aame",
"ACBI","Atlantic Capital Bancshares, Inc.","18.88","477483110.72","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acbi",
"ATLC","Atlanticus Holdings Corporation","3.71","57047089.54","n/a","1995","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","2.6","31036122","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afh",
"AFHBL","Atlas Financial Holdings, Inc.","17.73","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afhbl",
"AUBN","Auburn National Bancorporation, Inc.","33.39","121668752.52","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/aubn",
"EQH","AXA Equitable Holdings, Inc.","20.22","10538419823.28","n/a","2018","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/eqh",
"AXS","Axis Capital Holdings Limited","56.5","4725018781.5","n/a","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/axs",
"AX","Axos Financial, Inc.","30.23","1850574704.31","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ax",
"AXO","Axos Financial, Inc.","25.4211","0","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/axo",
"BANC","Banc of California, Inc.","14.72","745676368.64","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banc",
"BANF","BancFirst Corporation","55.27","1802508792.76","n/a","1993","Finance","Major Banks","https://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","26.7167","26716700","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","5.97","39807960000","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","11.83","79495921263.85","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","10.44","70155318511.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","31.19","47260888598.7","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","20.25","800655657.75","n/a","1992","Finance","Commercial Banks","https://www.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","12.36","92335763110.56","n/a","2009","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","31.19","14694086706.04","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsac",
"BSMX","Banco Santander Mexico, S.A., Institucion de Ban","6.62","8985980526.02","n/a","2012","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsmx",
"SAN","Banco Santander, S.A.","4.82","78260286400.44","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/san",
